consulta,categoria,id_correcto,archivo,h1_top1,h1_top5,h1_tiempo_ms,h1_mejor_id,h1_n_resultados,h2_top1,h2_top5,h2_tiempo_ms,h2_mejor_id,h2_n_resultados,h2oc_top1,h2oc_top5,h2oc_tiempo_ms,h2oc_mejor_id,h2oc_n_resultados,h2fu_top1,h2fu_top5,h2fu_tiempo_ms,h2fu_mejor_id,h2fu_n_resultados
c01_exacto.jpg,exacta,AIM-P001-013,c01_exacto.jpg,SI,SI,20341.7,AIM-P001-013,5,no,no,1896.2,AIM-P011-632,5,no,SI,649.2,AIM-P006-307,5,SI,SI,6648.5,AIM-P001-013,5
c01_sin_marco.jpg,sin_marco,AIM-P001-013,c01_sin_marco.jpg,SI,SI,174.5,AIM-P001-013,5,SI,SI,1441.7,AIM-P001-013,1,SI,SI,846.7,AIM-P001-013,1,SI,SI,5531.0,AIM-P001-013,1
c01_recoloreado.jpeg,recoloreada,AIM-P001-013,c01_recoloreado.jpeg,no,no,170.0,AIM-P012-716,5,SI,SI,536.6,AIM-P001-013,3,SI,SI,482.3,AIM-P001-013,1,SI,SI,5606.7,AIM-P001-013,2
c01_recorte.jpg,recortada,AIM-P001-013,c01_recorte.jpg,SI,SI,182.4,AIM-P001-013,5,SI,SI,509.2,AIM-P001-013,1,SI,SI,464.6,AIM-P001-013,1,SI,SI,4935.0,AIM-P001-013,2
c01_cuerpo.jpeg,persona,AIM-P001-013,c01_cuerpo.jpeg,no,no,167.1,AIM-P005-251,5,no,no,677.8,AIM-P008-455,5,no,SI,553.7,AIM-P005-272,5,SI,SI,5244.0,AIM-P001-013,5
c02_exacto.jpg,exacta,AIM-P001-014,c02_exacto.jpg,SI,SI,189.8,AIM-P001-014,5,SI,SI,1629.0,AIM-P001-014,1,SI,SI,785.3,AIM-P001-014,1,SI,SI,5884.5,AIM-P001-014,1
c02_sin_marco.jpg,sin_marco,AIM-P001-014,c02_sin_marco.jpg,SI,SI,214.3,AIM-P001-014,5,SI,SI,415.1,AIM-P001-014,1,SI,SI,349.0,AIM-P001-014,1,SI,SI,5635.2,AIM-P001-014,1
c02_recoloreado.jpeg,recoloreada,AIM-P001-014,c02_recoloreado.jpeg,SI,SI,170.8,AIM-P001-014,5,SI,SI,522.1,AIM-P001-014,1,SI,SI,490.1,AIM-P001-014,1,SI,SI,5067.9,AIM-P001-014,2
c02_recorte.jpg,recortada,AIM-P001-014,c02_recorte.jpg,SI,SI,168.0,AIM-P001-014,5,SI,SI,326.1,AIM-P001-014,1,SI,SI,411.6,AIM-P001-014,1,SI,SI,5682.6,AIM-P001-014,1
c02_cuerpo.jpeg,persona,AIM-P001-014,c02_cuerpo.jpeg,no,no,195.9,AIM-P005-276,5,no,no,854.1,AIM-P013-780,5,no,no,602.6,AIM-P001-009,5,no,no,4946.9,AIM-P001-041,3
c03_exacto.jpg,exacta,AIM-P001-015,c03_exacto.jpg,SI,SI,254.9,AIM-P001-015,5,SI,SI,499.1,AIM-P001-015,3,SI,SI,517.3,AIM-P001-015,5,SI,SI,4835.3,AIM-P001-015,5
c03_sin_marco.jpg,sin_marco,AIM-P001-015,c03_sin_marco.jpg,no,SI,217.3,AIM-P003-151,5,SI,SI,517.2,AIM-P001-015,1,SI,SI,368.7,AIM-P001-015,1,SI,SI,5636.6,AIM-P001-015,1
c03_recoloreado.jpeg,recoloreada,AIM-P001-015,c03_recoloreado.jpeg,no,no,324.0,AIM-P003-151,5,no,SI,582.7,AIM-P001-022,5,no,SI,425.7,AIM-P001-022,5,no,SI,6941.3,AIM-P013-761,5
c03_recorte.jpg,recortada,AIM-P001-015,c03_recorte.jpg,no,SI,299.8,AIM-P003-151,5,SI,SI,503.5,AIM-P001-015,1,SI,SI,506.0,AIM-P001-015,1,SI,SI,7009.3,AIM-P001-015,4
c03_cuerpo.jpeg,persona,AIM-P001-015,c03_cuerpo.jpeg,no,no,439.2,AIM-P001-006,5,no,no,687.9,AIM-P010-549,5,no,no,513.0,AIM-P010-549,5,SI,SI,4642.1,AIM-P001-015,5
c04_exacto.jpg,exacta,AIM-P001-016,c04_exacto.jpg,SI,SI,735.6,AIM-P001-016,5,SI,SI,3923.3,AIM-P001-016,3,SI,SI,2384.7,AIM-P001-016,5,SI,SI,8959.5,AIM-P001-016,4
c04_sin_marco.jpg,sin_marco,AIM-P001-016,c04_sin_marco.jpg,SI,SI,313.2,AIM-P001-016,5,SI,SI,567.4,AIM-P001-016,1,SI,SI,562.2,AIM-P001-016,1,SI,SI,6744.9,AIM-P001-016,1
c04_recoloreado.jpeg,recoloreada,AIM-P001-016,c04_recoloreado.jpeg,SI,SI,257.0,AIM-P001-016,5,no,SI,640.8,AIM-P010-599,4,SI,SI,581.5,AIM-P001-016,2,SI,SI,5000.6,AIM-P001-016,4
c04_recorte.jpg,recortada,AIM-P001-016,c04_recorte.jpg,SI,SI,177.2,AIM-P001-016,5,SI,SI,404.3,AIM-P001-016,1,SI,SI,279.2,AIM-P001-016,1,SI,SI,4207.3,AIM-P001-016,1
c04_cuerpo.jpeg,persona,AIM-P001-016,c04_cuerpo.jpeg,SI,SI,175.5,AIM-P001-016,5,SI,SI,481.3,AIM-P001-016,5,SI,SI,392.8,AIM-P001-016,3,no,SI,4247.4,AIM-P005-265,4
c05_exacto.jpg,exacta,AIM-P001-001,c05_exacto.jpg,SI,SI,178.6,AIM-P001-001,5,SI,SI,577.1,AIM-P001-001,1,SI,SI,315.0,AIM-P001-001,2,SI,SI,4204.5,AIM-P001-001,2
c05_sin_marco.jpg,sin_marco,AIM-P001-001,c05_sin_marco.jpg,SI,SI,186.7,AIM-P001-001,5,SI,SI,370.6,AIM-P001-001,1,SI,SI,492.6,AIM-P001-001,1,SI,SI,8523.4,AIM-P001-001,1
c05_recoloreado.jpeg,recoloreada,AIM-P001-001,c05_recoloreado.jpeg,SI,SI,243.0,AIM-P001-001,5,SI,SI,614.0,AIM-P001-001,1,SI,SI,282.1,AIM-P001-001,1,SI,SI,5853.4,AIM-P001-001,1
c05_recorte.jpg,recortada,AIM-P001-001,c05_recorte.jpg,SI,SI,295.7,AIM-P001-001,5,SI,SI,584.4,AIM-P001-001,1,SI,SI,901.8,AIM-P001-001,1,SI,SI,5475.6,AIM-P001-001,1
c05_cuerpo.jpeg,persona,AIM-P001-001,c05_cuerpo.jpeg,no,no,206.5,AIM-P015-849,5,no,no,586.2,AIM-P003-147,5,no,no,342.5,AIM-P016-953,4,no,SI,4416.6,AIM-P013-780,5
c06_exacto.jpg,exacta,AIM-P001-002,c06_exacto.jpg,SI,SI,208.4,AIM-P001-002,5,no,SI,806.8,AIM-P010-543,5,SI,SI,638.2,AIM-P001-002,1,SI,SI,4588.2,AIM-P001-002,3
c06_sin_marco.jpg,sin_marco,AIM-P001-002,c06_sin_marco.jpg,SI,SI,438.1,AIM-P001-002,5,SI,SI,527.3,AIM-P001-002,1,SI,SI,507.7,AIM-P001-002,1,SI,SI,4199.9,AIM-P001-002,1
c06_recoloreado.jpeg,recoloreada,AIM-P001-002,c06_recoloreado.jpeg,SI,SI,213.3,AIM-P001-002,5,SI,SI,599.0,AIM-P001-002,1,SI,SI,500.2,AIM-P001-002,1,SI,SI,5417.7,AIM-P001-002,1
