id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P001-001.jpg,ok,"logo separado de bloque ancho x[15:117] | frente/espalda fusionados, separados en x=400",551x353,ok-saved,si,si
AIM-P001-002.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",551x352,ok-saved,si,si
AIM-P001-003.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=398",544x352,ok-saved,si,si
AIM-P001-004.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=398",552x353,ok-saved,si,si
AIM-P001-005.jpg,ok,"logo separado de bloque ancho x[5:109] | frente/espalda fusionados, separados en x=401",569x366,ok-saved,si,si
AIM-P001-006.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P001-007.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-008.jpg,ok,logo separado de bloque ancho x[15:115],477x352,ok-saved,si,si
AIM-P001-009.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",544x352,ok-saved,si,si
AIM-P001-010.jpg,ok,logo separado de bloque ancho x[15:115],543x352,ok-saved,si,si
AIM-P001-011.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",550x352,ok-saved,si,si
AIM-P001-012.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",558x354,ok-saved,si,si
AIM-P001-013.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P001-014.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",552x352,ok-saved,si,si
AIM-P001-015.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",543x352,ok-saved,si,si
AIM-P001-016.jpg,ok,"logo separado de bloque ancho x[91:703] | frente/espalda fusionados, separados en x=2415",700x455,ok-saved,si,si
AIM-P001-017.jpg,ok,"logo descartado x[14:125] | frente/espalda fusionados, separados en x=395",518x352,ok-saved,si,si
AIM-P001-018.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",556x352,ok-saved,si,si
AIM-P001-019.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=402",558x353,ok-saved,si,si
AIM-P001-020.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",546x352,ok-saved,si,si
AIM-P001-021.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",555x352,ok-saved,si,si
AIM-P001-022.jpg,ok,"logo separado de bloque ancho x[15:117] | frente/espalda fusionados, separados en x=397",540x353,ok-saved,si,si
AIM-P001-023.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",555x352,ok-saved,si,si
AIM-P001-024.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P001-025.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",543x352,ok-saved,si,si
AIM-P001-026.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",546x352,ok-saved,si,si
AIM-P001-027.jpg,ok,logo separado de bloque ancho x[15:116],514x352,ok-saved,si,si
AIM-P001-028.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",551x352,ok-saved,si,si
AIM-P001-029.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",551x352,ok-saved,si,si
AIM-P001-030.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x353,ok-saved,si,si
AIM-P001-031.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P001-032.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",548x352,ok-saved,si,si
AIM-P001-033.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x353,ok-saved,si,si
AIM-P001-034.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",545x352,ok-saved,si,si
AIM-P001-035.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-036.jpg,ok,"logo separado de bloque ancho x[3:107] | frente/espalda fusionados, separados en x=396",564x364,ok-saved,si,si
AIM-P001-037.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P001-038.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",550x353,ok-saved,si,si
AIM-P001-039.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",549x356,ok-saved,si,si
AIM-P001-040.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-041.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",556x352,ok-saved,si,si
AIM-P001-042.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",544x352,ok-saved,si,si
