consulta,resultado_id,posicion,score,clasificacion_humana,observacion
test_01_A.jpg,AIM-P002-083,1,1.0,Correcto,
test_01_A.jpg,AIM-P011-621,2,0.8687,Util_no_duplicado,
test_01_A.jpg,AIM-P004-202,3,0.7792,Incorrecto,
test_01_A.jpg,AIM-P003-142,4,0.7548,Incorrecto,
test_01_A.jpg,AIM-P017-986,5,0.744,Incorrecto,
test_02_A.jpg,AIM-P002-098,1,1.0,Correcto,
test_02_A.jpg,AIM-P006-353,2,0.8372,Incorrecto,
test_02_A.jpg,AIM-P014-830,3,0.7744,Incorrecto,
test_02_A.jpg,AIM-P012-691,4,0.7402,Incorrecto,
test_02_A.jpg,AIM-P012-692,5,0.7338,Incorrecto,
test_03_A.jpg,AIM-P002-113,1,1.0,Correcto,
test_03_A.jpg,AIM-P014-788,2,0.7619,Incorrecto,
test_03_A.jpg,AIM-P005-243,3,0.7374,Incorrecto,
test_03_A.jpg,AIM-P010-591,4,0.7292,Incorrecto,
test_03_A.jpg,AIM-P003-124,5,0.7285,Incorrecto,
test_04_A.jpg,AIM-P003-128,1,1.0,Correcto,
test_04_A.jpg,AIM-P016-949,2,0.8089,Incorrecto,
test_04_A.jpg,AIM-P009-510,3,0.8016,Incorrecto,
test_04_A.jpg,AIM-P002-099,4,0.7944,Incorrecto,
test_04_A.jpg,AIM-P014-781,5,0.7942,Incorrecto,
test_05_A.jpg,AIM-P003-143,1,1.0,Correcto,
test_05_A.jpg,AIM-P001-055,2,0.766,Incorrecto,
test_05_A.jpg,AIM-P004-237,3,0.7374,Incorrecto,
test_05_A.jpg,AIM-P011-623,4,0.7365,Incorrecto,
test_05_A.jpg,AIM-P014-819,5,0.7291,Incorrecto,
test_06_B.jpg,AIM-P001-021,1,0.9718,Correcto,
test_06_B.jpg,AIM-P012-685,2,0.7406,Incorrecto,
test_06_B.jpg,AIM-P012-707,3,0.7303,Incorrecto,
test_06_B.jpg,AIM-P015-858,4,0.7287,Incorrecto,
test_06_B.jpg,AIM-P004-219,5,0.7271,Incorrecto,
test_07_B.jpg,AIM-P001-024,1,0.9598,Correcto,
test_07_B.jpg,AIM-P011-655,2,0.726,Incorrecto,
test_07_B.jpg,AIM-P006-326,3,0.6941,Incorrecto,
test_07_B.jpg,AIM-P009-532,4,0.6933,Incorrecto,
test_07_B.jpg,AIM-P008-480,5,0.6884,Incorrecto,
test_08_B.jpg,AIM-P001-027,1,0.9679,Correcto,
test_08_B.jpg,AIM-P005-251,2,0.783,Util_no_duplicado,
test_08_B.jpg,AIM-P002-090,3,0.781,Util_no_duplicado,
test_08_B.jpg,AIM-P001-006,4,0.78,Util_no_duplicado,
test_08_B.jpg,AIM-P002-117,5,0.773,Util_no_duplicado,
test_09_B.jpg,AIM-P001-030,1,0.9832,Correcto,
test_09_B.jpg,AIM-P007-372,2,0.7594,Util_no_duplicado,
test_09_B.jpg,AIM-P005-251,3,0.758,Util_no_duplicado,
test_09_B.jpg,AIM-P001-006,4,0.7554,Util_no_duplicado,
test_09_B.jpg,AIM-P017-983,5,0.7502,Util_no_duplicado,
test_10_B.jpg,AIM-P001-033,1,0.9612,Correcto,
test_10_B.jpg,AIM-P009-537,2,0.753,Util_no_duplicado,
