modelo,categoria,n_consultas,top1_correctos,precision_top1,top5_correctos,precision_top5,tiempo_busqueda_prom_ms
clip,global,50,29,58.0,33,66.0,278.94
clip,cuerpo,10,4,40.0,4,40.0,
clip,exacta,10,10,100.0,10,100.0,
clip,recoloreada,10,4,40.0,5,50.0,
clip,recortada,10,5,50.0,5,50.0,
clip,sin_marco,10,6,60.0,9,90.0,
openclip,global,50,30,60.0,39,78.0,262.44
openclip,cuerpo,10,2,20.0,4,40.0,
openclip,exacta,10,10,100.0,10,100.0,
openclip,recoloreada,10,4,40.0,6,60.0,
openclip,recortada,10,7,70.0,10,100.0,
openclip,sin_marco,10,7,70.0,9,90.0,
siglip,global,50,27,54.0,33,66.0,568.6
siglip,cuerpo,10,2,20.0,3,30.0,
siglip,exacta,10,10,100.0,10,100.0,
siglip,recoloreada,10,4,40.0,6,60.0,
siglip,recortada,10,5,50.0,7,70.0,
siglip,sin_marco,10,6,60.0,7,70.0,
