id,proveedor,pagina,imagen,nombre_original,url
AIM-P001-0001,Designs Aimari,1,AIM-P001-0001.jpg,Guadalcacin Blue,https://media.designsaimari.com/products/cmsak7fn30l21np01zwgewh86/previews/1785600117219-5d6524ef-6818-4bc4-adfc-e7b18cf1879c.jpg?variante=1
AIM-P001-0002,Designs Aimari,1,AIM-P001-0002.jpg,Argentina Drexx,https://media.designsaimari.com/products/cmsaibco10koxnp01tazeaomx/previews/1785596944633-4145288c-feda-44b0-8a09-ec6e43657692.jpg?variante=2
AIM-P001-0003,Designs Aimari,1,AIM-P001-0003.jpg,Ballbreakers DUO Kit,https://media.designsaimari.com/products/cms9vwm0p0ibxpc01anhrzy2i/previews/1785559301285-bc3edbc9-9a8b-4589-b622-2b336c039461.jpg?variante=3
AIM-P001-0004,Designs Aimari,1,AIM-P001-0004.jpg,CRISTO CONVITERO MIXQUEÑO,https://media.designsaimari.com/products/cms9hnwec0f6fnp01ioeq0fqd/previews/1785535382850-695a7d83-e5a0-4c01-b81a-b2f027847228.jpg?variante=4
AIM-P001-0005,Designs Aimari,1,AIM-P001-0005.jpg,Africa del Sur,https://media.designsaimari.com/products/cms9hehwz0fgopc01wnm830ux/previews/1785534942474-7e7be854-ce32-4c81-bd61-c1bd7ba9e26f.jpg?variante=5
AIM-P001-0006,Designs Aimari,1,AIM-P001-0006.jpg,Senegal AFCON 2025,https://media.designsaimari.com/products/cms9h7pnh0fdtpc0127zbcpca/previews/1785534627438-5984abaf-b0ee-4111-8393-01aa79d816a9.jpg?variante=6
AIM-P001-0007,Designs Aimari,1,AIM-P001-0007.jpg,Jersey Blue And Red Sport,https://media.designsaimari.com/products/cms9gsy0k0ex4np01jwy2ukxq/previews/1785533935986-564c723a-0d55-4b30-8698-3867f7ae3305.jpg?variante=7
AIM-P001-0008,Designs Aimari,1,AIM-P001-0008.jpg,Sport Red Dark GB,https://media.designsaimari.com/products/cms9g214x0ejnnp01z4zgpt6s/previews/1785532681139-4c0217c8-7240-40e4-b04e-04ac03224f07.jpg?variante=8
AIM-P001-0009,Designs Aimari,1,AIM-P001-0009.jpg,River Plate 26-27,https://media.designsaimari.com/products/cms9f3zaq0e41np017jhwtf3e/previews/1785531091798-b7019670-a9f6-43c4-a5f4-ee4a45132fe5.jpg?variante=9
AIM-P001-0010,Designs Aimari,1,AIM-P001-0010.jpg,Deportivo Escolar,https://media.designsaimari.com/products/cms9edtb80drhnp0187n9gm2k/previews/1785529871436-771503ae-69b4-4037-92e9-b2a2ef61a9ab.jpg?variante=10
