archivo,categoria,correcto_id,top1_original,top1_original_score,top5_original,hit1_original,hit5_original,top1_procesada,top1_procesada_score,top5_procesada,hit1_procesada,hit5_procesada,recorte_pct,pasos,tiempo_original_s,tiempo_procesada_s,tiempo_preprocesado_s
c01_exacto.jpg,exacta,AIM-P001-013,AIM-P001-013,1.0,AIM-P001-013|AIM-P003-151|AIM-P009-481|AIM-P009-506|AIM-P016-916,True,True,AIM-P001-013,0.8891,AIM-P001-013|AIM-P016-918|AIM-P003-151|AIM-P001-022|AIM-P009-481,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.116,0.871,0.812
c01_sin_marco.jpg,sin_marco,AIM-P001-013,AIM-P001-013,0.6613,AIM-P001-013|AIM-P009-481|AIM-P015-842|AIM-P003-151|AIM-P004-209,True,True,AIM-P001-013,0.7234,AIM-P001-013|AIM-P009-481|AIM-P009-511|AIM-P014-815|AIM-P016-949,True,True,0.8115,"remover_fondo:grabcut;recortar_region:50,0,489,352",0.06,1.184,1.123
c01_recoloreado.jpeg,recoloreada,AIM-P001-013,AIM-P012-716,0.6302,AIM-P012-716|AIM-P004-209|AIM-P017-968|AIM-P001-029|AIM-P002-099,False,False,AIM-P001-013,0.6525,AIM-P001-013|AIM-P012-716|AIM-P016-949|AIM-P012-710|AIM-P010-594,True,True,0.8548,"remover_fondo:grabcut;recortar_region:58,0,729,527",0.063,3.593,3.532
c01_recorte.jpg,recortada,AIM-P001-013,AIM-P001-013,0.6705,AIM-P001-013|AIM-P009-481|AIM-P003-151|AIM-P012-710|AIM-P008-462,True,True,AIM-P001-013,0.652,AIM-P001-013|AIM-P009-481|AIM-P015-844|AIM-P003-151|AIM-P015-842,True,True,0.7582,"remover_fondo:grabcut;recortar_region:61,0,268,352",0.061,0.565,0.506
c01_cuerpo.jpeg,persona,AIM-P001-013,AIM-P005-251,0.6795,AIM-P005-251|AIM-P015-866|AIM-P009-510|AIM-P003-139|AIM-P002-090,False,False,AIM-P009-510,0.6484,AIM-P009-510|AIM-P015-866|AIM-P005-251|AIM-P002-090|AIM-P005-276,False,False,0.3496,"remover_fondo:grabcut;recortar_region:170,94,413,666",0.06,10.919,10.858
c02_exacto.jpg,exacta,AIM-P001-014,AIM-P001-014,1.0,AIM-P001-014|AIM-P001-032|AIM-P010-545|AIM-P003-163|AIM-P004-219,True,True,AIM-P001-014,0.8915,AIM-P001-014|AIM-P001-032|AIM-P010-545|AIM-P003-163|AIM-P002-107,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.062,0.602,0.542
c02_sin_marco.jpg,sin_marco,AIM-P001-014,AIM-P001-014,0.7078,AIM-P001-014|AIM-P003-163|AIM-P014-826|AIM-P006-324|AIM-P012-680,True,True,AIM-P001-014,0.7343,AIM-P001-014|AIM-P003-163|AIM-P006-324|AIM-P014-826|AIM-P010-545,True,True,0.8024,"remover_fondo:grabcut;recortar_region:36,20,507,351",0.06,1.751,1.677
c02_recoloreado.jpeg,recoloreada,AIM-P001-014,AIM-P001-014,0.6679,AIM-P001-014|AIM-P003-163|AIM-P014-826|AIM-P011-605|AIM-P014-832,True,True,AIM-P001-014,0.6684,AIM-P001-014|AIM-P014-826|AIM-P003-163|AIM-P011-653|AIM-P007-405,True,True,0.7935,"remover_fondo:grabcut;recortar_region:50,29,741,508",0.07,5.589,5.513
c02_recorte.jpg,recortada,AIM-P001-014,AIM-P001-014,0.5889,AIM-P001-014|AIM-P003-163|AIM-P014-826|AIM-P006-324|AIM-P010-545,True,True,AIM-P001-014,0.5726,AIM-P001-014|AIM-P003-163|AIM-P014-826|AIM-P006-324|AIM-P010-545,True,True,0.5082,"remover_fondo:grabcut;recortar_region:29,29,214,351",0.062,0.798,0.719
c02_cuerpo.jpeg,persona,AIM-P001-014,AIM-P005-276,0.5809,AIM-P005-276|AIM-P005-251|AIM-P008-450|AIM-P003-153|AIM-P003-139,False,False,AIM-P008-440,0.6031,AIM-P008-440|AIM-P008-433|AIM-P009-485|AIM-P008-450|AIM-P005-251,False,False,0.3518,"remover_fondo:grabcut;recortar_region:139,7,404,476",0.095,4.844,4.781
c03_exacto.jpg,exacta,AIM-P001-015,AIM-P001-015,1.0,AIM-P001-015|AIM-P017-994|AIM-P010-565|AIM-P016-942|AIM-P010-576,True,True,AIM-P001-015,0.9275,AIM-P001-015|AIM-P017-994|AIM-P010-565|AIM-P010-576|AIM-P016-942,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.071,0.736,0.636
c03_sin_marco.jpg,sin_marco,AIM-P001-015,AIM-P003-151,0.7448,AIM-P003-151|AIM-P001-022|AIM-P015-842|AIM-P006-320|AIM-P001-015,False,True,AIM-P001-022,0.7788,AIM-P001-022|AIM-P015-842|AIM-P003-151|AIM-P004-209|AIM-P006-320,False,False,0.9261,"remover_fondo:grabcut;recortar_region:0,0,543,326",0.119,3.39,3.284
c03_recoloreado.jpeg,recoloreada,AIM-P001-015,AIM-P003-151,0.7657,AIM-P003-151|AIM-P001-022|AIM-P015-842|AIM-P016-921|AIM-P006-320,False,False,AIM-P003-151,0.7856,AIM-P003-151|AIM-P001-022|AIM-P015-842|AIM-P016-921|AIM-P006-320,False,False,0.9106,"remover_fondo:grabcut;recortar_region:0,47,796,526",0.121,13.569,13.493
c03_recorte.jpg,recortada,AIM-P001-015,AIM-P003-151,0.7285,AIM-P003-151|AIM-P001-015|AIM-P006-320|AIM-P001-022|AIM-P015-842,False,True,AIM-P001-022,0.7963,AIM-P001-022|AIM-P003-151|AIM-P015-842|AIM-P004-209|AIM-P009-506,False,False,0.6213,"remover_fondo:grabcut;recortar_region:12,0,245,352",0.081,2.037,1.974
c03_cuerpo.jpeg,persona,AIM-P001-015,AIM-P001-006,0.7515,AIM-P001-006|AIM-P002-090|AIM-P005-251|AIM-P015-866|AIM-P017-983,False,False,AIM-P001-006,0.724,AIM-P001-006|AIM-P002-090|AIM-P015-866|AIM-P005-251|AIM-P009-510,False,False,0.6431,"remover_fondo:grabcut;recortar_region:10,106,437,664",0.071,6.805,6.729
c04_exacto.jpg,exacta,AIM-P001-016,AIM-P001-016,1.0,AIM-P001-016|AIM-P005-265|AIM-P013-742|AIM-P010-599|AIM-P005-247,True,True,AIM-P001-016,0.9458,AIM-P001-016|AIM-P005-265|AIM-P013-742|AIM-P010-599|AIM-P005-247,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,4252,3402;centrar_sin_recorte",0.174,32.097,32.032
c04_sin_marco.jpg,sin_marco,AIM-P001-016,AIM-P001-016,0.7294,AIM-P001-016|AIM-P005-265|AIM-P010-599|AIM-P004-231|AIM-P013-742,True,True,AIM-P001-016,0.6858,AIM-P001-016|AIM-P005-265|AIM-P013-742|AIM-P010-599|AIM-P010-596,True,True,0.2934,"remover_fondo:grabcut;recortar_region:26,69,287,427",0.115,3.759,3.687
c04_recoloreado.jpeg,recoloreada,AIM-P001-016,AIM-P001-016,0.6495,AIM-P001-016|AIM-P014-794|AIM-P005-265|AIM-P010-599|AIM-P004-231,True,True,AIM-P001-016,0.7192,AIM-P001-016|AIM-P005-265|AIM-P014-794|AIM-P010-599|AIM-P006-328,True,True,0.9261,"remover_fondo:grabcut;recortar_region:0,24,786,522",0.064,5.25,5.185
c04_recorte.jpg,recortada,AIM-P001-016,AIM-P001-016,0.7523,AIM-P001-016|AIM-P005-265|AIM-P010-599|AIM-P004-231|AIM-P013-742,True,True,AIM-P001-016,0.6944,AIM-P001-016|AIM-P005-265|AIM-P010-599|AIM-P013-742|AIM-P012-716,True,True,0.557,"remover_fondo:grabcut;recortar_region:33,69,379,455",0.06,1.143,1.08
c04_cuerpo.jpeg,persona,AIM-P001-016,AIM-P001-016,0.5917,AIM-P001-016|AIM-P005-265|AIM-P011-660|AIM-P010-599|AIM-P016-914,True,True,AIM-P001-016,0.6132,AIM-P001-016|AIM-P005-265|AIM-P010-599|AIM-P016-914|AIM-P011-660,True,True,0.4516,"remover_fondo:grabcut;recortar_region:164,21,509,633",0.065,7.269,7.206
c05_exacto.jpg,exacta,AIM-P001-001,AIM-P001-001,1.0,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P002-088,True,True,AIM-P001-001,0.9265,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P002-088,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.062,0.719,0.654
c05_sin_marco.jpg,sin_marco,AIM-P001-001,AIM-P001-001,0.6705,AIM-P001-001|AIM-P002-088|AIM-P012-716|AIM-P011-622|AIM-P014-832,True,True,AIM-P001-001,0.7088,AIM-P001-001|AIM-P012-716|AIM-P002-088|AIM-P001-039|AIM-P004-181,True,True,0.9564,"remover_fondo:grabcut;recortar_region:22,0,549,353",0.069,0.768,0.702
