modelo,consulta,categoria,id_correcto,posicion,resultado_id,score,clasificacion_humana,observacion
clip,c01_cuerpo,cuerpo,AIM-P001-013,1,AIM-P008-455,0.7604,,
clip,c01_cuerpo,cuerpo,AIM-P001-013,2,AIM-P003-139,0.7424,,
clip,c01_cuerpo,cuerpo,AIM-P001-013,3,AIM-P006-357,0.7331,,
clip,c01_cuerpo,cuerpo,AIM-P001-013,4,AIM-P015-866,0.7283,,
clip,c01_cuerpo,cuerpo,AIM-P001-013,5,AIM-P005-276,0.7277,,
clip,c03_cuerpo,cuerpo,AIM-P001-015,1,AIM-P010-549,0.7441,,
clip,c03_cuerpo,cuerpo,AIM-P001-015,2,AIM-P015-852,0.73,,
clip,c03_cuerpo,cuerpo,AIM-P001-015,3,AIM-P017-963,0.7131,,
clip,c03_cuerpo,cuerpo,AIM-P001-015,4,AIM-P015-866,0.7047,,
clip,c03_cuerpo,cuerpo,AIM-P001-015,5,AIM-P004-215,0.6978,,
clip,c04_cuerpo,cuerpo,AIM-P001-016,1,AIM-P001-016,0.7402,Correcto,
clip,c04_cuerpo,cuerpo,AIM-P001-016,2,AIM-P005-265,0.6899,,
clip,c04_cuerpo,cuerpo,AIM-P001-016,3,AIM-P010-599,0.647,,
clip,c04_cuerpo,cuerpo,AIM-P001-016,4,AIM-P013-780,0.6429,,
clip,c04_cuerpo,cuerpo,AIM-P001-016,5,AIM-P011-631,0.6422,,
clip,c06_cuerpo,cuerpo,AIM-P001-002,1,AIM-P004-195,0.7048,,
clip,c06_cuerpo,cuerpo,AIM-P001-002,2,AIM-P004-202,0.7011,,
clip,c06_cuerpo,cuerpo,AIM-P001-002,3,AIM-P017-981,0.6951,,
clip,c06_cuerpo,cuerpo,AIM-P001-002,4,AIM-P009-485,0.6902,,
clip,c06_cuerpo,cuerpo,AIM-P001-002,5,AIM-P003-139,0.6896,,
clip,c09_cuerpo,cuerpo,AIM-P001-005,1,AIM-P008-432,0.7305,,
clip,c09_cuerpo,cuerpo,AIM-P001-005,2,AIM-P008-455,0.6972,,
clip,c09_cuerpo,cuerpo,AIM-P001-005,3,AIM-P006-357,0.6904,,
clip,c09_cuerpo,cuerpo,AIM-P001-005,4,AIM-P015-881,0.6875,,
clip,c09_cuerpo,cuerpo,AIM-P001-005,5,AIM-P013-780,0.6734,,
clip,c10_cuerpo,cuerpo,AIM-P001-006,1,AIM-P013-780,0.6309,,
clip,c10_cuerpo,cuerpo,AIM-P001-006,2,AIM-P016-953,0.6291,,
clip,c10_cuerpo,cuerpo,AIM-P001-006,3,AIM-P007-415,0.6202,,
clip,c10_cuerpo,cuerpo,AIM-P001-006,4,AIM-P010-549,0.6081,,
clip,c10_cuerpo,cuerpo,AIM-P001-006,5,AIM-P012-665,0.6025,,
clip,c11_cuerpo,cuerpo,AIM-P001-007,1,AIM-P013-780,0.7368,,
clip,c11_cuerpo,cuerpo,AIM-P001-007,2,AIM-P007-415,0.7173,,
clip,c11_cuerpo,cuerpo,AIM-P001-007,3,AIM-P008-455,0.7071,,
clip,c11_cuerpo,cuerpo,AIM-P001-007,4,AIM-P006-357,0.6983,,
clip,c11_cuerpo,cuerpo,AIM-P001-007,5,AIM-P008-432,0.6861,,
clip,c12_cuerpo,cuerpo,AIM-P001-008,1,AIM-P005-293,0.7391,,
clip,c12_cuerpo,cuerpo,AIM-P001-008,2,AIM-P003-139,0.7117,,
clip,c12_cuerpo,cuerpo,AIM-P001-008,3,AIM-P004-202,0.7111,,
clip,c12_cuerpo,cuerpo,AIM-P001-008,4,AIM-P006-318,0.7036,,
clip,c12_cuerpo,cuerpo,AIM-P001-008,5,AIM-P008-433,0.6863,,
clip,c13_cuerpo,cuerpo,AIM-P001-009,1,AIM-P006-357,0.6629,,
clip,c13_cuerpo,cuerpo,AIM-P001-009,2,AIM-P005-272,0.6443,,
clip,c13_cuerpo,cuerpo,AIM-P001-009,3,AIM-P001-030,0.6378,,
clip,c13_cuerpo,cuerpo,AIM-P001-009,4,AIM-P013-780,0.6362,,
clip,c13_cuerpo,cuerpo,AIM-P001-009,5,AIM-P005-269,0.6327,,
clip,c15_cuerpo,cuerpo,AIM-P001-011,1,AIM-P001-011,0.6932,Correcto,
clip,c15_cuerpo,cuerpo,AIM-P001-011,2,AIM-P004-195,0.6601,,
clip,c15_cuerpo,cuerpo,AIM-P001-011,3,AIM-P017-981,0.6347,,
clip,c15_cuerpo,cuerpo,AIM-P001-011,4,AIM-P005-293,0.6259,,
clip,c15_cuerpo,cuerpo,AIM-P001-011,5,AIM-P008-440,0.6221,,
clip,c02_exacto,exacta,AIM-P001-014,1,AIM-P001-014,0.7078,Correcto,
clip,c02_exacto,exacta,AIM-P001-014,2,AIM-P003-163,0.5509,,
clip,c02_exacto,exacta,AIM-P001-014,3,AIM-P002-084,0.5453,,
clip,c02_exacto,exacta,AIM-P001-014,4,AIM-P007-420,0.5406,,
clip,c02_exacto,exacta,AIM-P001-014,5,AIM-P003-131,0.5253,,
clip,c03_exacto,exacta,AIM-P001-015,1,AIM-P001-015,0.728,Correcto,
