consulta,tiempo_segundos
test_01_A.jpg,0.0742
test_02_A.jpg,0.0691
test_03_A.jpg,0.0676
test_04_A.jpg,0.1028
test_05_A.jpg,0.0679
test_06_B.jpg,0.0575
test_07_B.jpg,0.0638
test_08_B.jpg,0.0635
test_09_B.jpg,0.0605
test_10_B.jpg,0.0599
test_11_C.png,0.0613
test_12_C.png,0.0683
test_13_C.png,0.0594
test_14_C.png,0.1096
test_15_C.png,0.0644
test_16_D.jpg,0.0609
test_17_D.jpg,0.0602
test_18_D.jpg,0.0631
test_19_D.jpg,0.0673
test_20_D.jpg,0.061
image.png,0.0823
Diseño-Prueba.png,0.0672
Diseño-Prueba.png,0.1024
rtrete.png,0.803
image.png,0.2466
rtrete.png,0.3849
generacion_clip,133.6205
generacion_openclip,127.0079
generacion_siglip,503.4482
c01_cuerpo__clip,0.4586
c03_cuerpo__clip,0.252
c04_cuerpo__clip,0.1931
c06_cuerpo__clip,0.1659
c09_cuerpo__clip,0.2896
c10_cuerpo__clip,0.3725
c11_cuerpo__clip,0.2628
c12_cuerpo__clip,0.3274
c13_cuerpo__clip,0.4016
c15_cuerpo__clip,0.3607
c02_exacto__clip,0.2554
c03_exacto__clip,0.2904
c06_exacto__clip,0.289
c07_exacto__clip,0.2483
c08_exacto__clip,0.2617
c09_exacto__clip,0.2557
c10_exacto__clip,0.2444
c11_exacto__clip,0.2689
c13_exacto__clip,0.2576
c15_exacto__clip,0.2462
c01_recoloreado__clip,0.272
c03_recoloreado__clip,0.2674
c06_recoloreado__clip,0.2779
c08_recoloreado__clip,0.2398
c10_recoloreado__clip,0.2483
c11_recoloreado__clip,0.2406
c12_recoloreado__clip,0.2588
c13_recoloreado__clip,0.2595
c14_recoloreado__clip,0.2154
c16_recoloreado__clip,0.2497
c01_recorte__clip,0.2469
c07_recorte__clip,0.2719
c08_recorte__clip,0.2554
c09_recorte__clip,0.2515
c10_recorte__clip,0.2554
c12_recorte__clip,0.2569
c13_recorte__clip,0.2563
c14_recorte__clip,0.2201
c15_recorte__clip,0.3402
c16_recorte__clip,0.3294
c02_sin_marco__clip,0.2682
c03_sin_marco__clip,0.2208
c05_sin_marco__clip,0.2556
c06_sin_marco__clip,0.371
c07_sin_marco__clip,0.4203
c11_sin_marco__clip,0.3642
c12_sin_marco__clip,0.2961
