archivo,categoria,correcto_id,top1_original,top1_original_score,top5_original,hit1_original,hit5_original,top1_procesada,top1_procesada_score,top5_procesada,hit1_procesada,hit5_procesada,recorte_pct,pasos,tiempo_original_s,tiempo_procesada_s,tiempo_preprocesado_s
c01_exacta.jpg,exacta,AIM-P001-001,AIM-P001-001,0.9995,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P002-088,True,True,AIM-P001-001,0.9262,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P002-088,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.233,1.18,1.025
c01_sin_marco.jpg,sin_marco,AIM-P001-001,AIM-P001-001,0.974,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P002-088,True,True,AIM-P001-001,0.7916,AIM-P001-001|AIM-P011-613|AIM-P006-328|AIM-P005-247|AIM-P004-226,True,True,0.833,"remover_fondo:grabcut;recortar_region:0,87,660,535",0.154,1.204,1.043
c01_recoloreada.jpg,recoloreada,AIM-P001-001,AIM-P001-001,0.9529,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P016-922,True,True,AIM-P001-001,0.896,AIM-P001-001|AIM-P017-980|AIM-P008-469|AIM-P003-162|AIM-P014-828,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.157,1.129,0.98
c01_recortada.jpg,recortada,AIM-P001-001,AIM-P001-001,0.667,AIM-P001-001|AIM-P012-716|AIM-P012-710|AIM-P010-561|AIM-P014-832,True,True,AIM-P001-001,0.6144,AIM-P001-001|AIM-P003-147|AIM-P003-125|AIM-P011-613|AIM-P014-832,True,True,0.2935,"remover_fondo:grabcut;recortar_region:51,0,164,308",0.157,1.19,1.013
c01_persona.jpg,persona,AIM-P001-001,AIM-P011-613,0.6367,AIM-P011-613|AIM-P001-029|AIM-P015-844|AIM-P012-716|AIM-P010-594,False,False,AIM-P001-001,0.6738,AIM-P001-001|AIM-P001-029|AIM-P012-716|AIM-P011-613|AIM-P005-275,True,True,0.6563,"remover_fondo:grabcut;recortar_region:36,20,284,291",0.153,0.717,0.548
c02_exacta.jpg,exacta,AIM-P001-010,AIM-P001-010,0.9997,AIM-P001-010|AIM-P013-730|AIM-P012-695|AIM-P014-798|AIM-P008-465,True,True,AIM-P001-010,0.9318,AIM-P001-010|AIM-P012-695|AIM-P013-730|AIM-P008-465|AIM-P004-209,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.155,2.196,2.033
c02_sin_marco.jpg,sin_marco,AIM-P001-010,AIM-P001-010,0.9719,AIM-P001-010|AIM-P012-695|AIM-P013-730|AIM-P014-798|AIM-P004-209,True,True,AIM-P004-209,0.7953,AIM-P004-209|AIM-P009-481|AIM-P001-029|AIM-P001-022|AIM-P015-842,False,False,0.4473,"remover_fondo:grabcut;recortar_region:0,115,415,497",0.211,4.695,4.53
c02_recoloreada.jpg,recoloreada,AIM-P001-010,AIM-P001-010,0.9497,AIM-P001-010|AIM-P012-695|AIM-P004-209|AIM-P013-730|AIM-P014-798,True,True,AIM-P001-010,0.896,AIM-P001-010|AIM-P012-695|AIM-P004-209|AIM-P014-798|AIM-P008-465,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.198,1.138,0.985
c02_recortada.jpg,recortada,AIM-P001-010,AIM-P004-209,0.7691,AIM-P004-209|AIM-P015-842|AIM-P001-022|AIM-P001-029|AIM-P009-481,False,False,AIM-P004-209,0.7792,AIM-P004-209|AIM-P001-029|AIM-P001-022|AIM-P009-481|AIM-P015-842,False,False,0.5158,"remover_fondo:grabcut;recortar_region:0,70,257,308",0.148,0.62,0.468
c02_persona.jpg,persona,AIM-P001-010,AIM-P004-209,0.7008,AIM-P004-209|AIM-P001-029|AIM-P010-594|AIM-P004-197|AIM-P003-152,False,False,AIM-P001-029,0.7198,AIM-P001-029|AIM-P004-234|AIM-P002-099|AIM-P001-039|AIM-P008-427,False,False,0.6563,"remover_fondo:grabcut;recortar_region:36,20,284,291",0.164,0.738,0.57
c03_exacta.jpg,exacta,AIM-P001-025,AIM-P001-025,0.9978,AIM-P001-025|AIM-P016-932|AIM-P001-022|AIM-P005-257|AIM-P016-921,True,True,AIM-P001-025,0.8908,AIM-P001-025|AIM-P001-022|AIM-P003-180|AIM-P017-967|AIM-P006-307,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.173,1.136,0.97
c03_sin_marco.jpg,sin_marco,AIM-P001-025,AIM-P001-025,0.9514,AIM-P001-025|AIM-P016-932|AIM-P014-836|AIM-P007-402|AIM-P015-866,True,True,AIM-P001-025,0.6604,AIM-P001-025|AIM-P003-151|AIM-P007-402|AIM-P007-407|AIM-P005-251,True,True,0.73,"remover_fondo:grabcut;recortar_region:0,87,660,479",0.194,1.172,1.018
c03_recoloreada.jpg,recoloreada,AIM-P001-025,AIM-P001-025,0.9177,AIM-P001-025|AIM-P005-257|AIM-P005-275|AIM-P010-594|AIM-P005-295,True,True,AIM-P001-025,0.8535,AIM-P001-025|AIM-P005-257|AIM-P003-180|AIM-P001-022|AIM-P014-800,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.197,1.285,1.113
c03_recortada.jpg,recortada,AIM-P001-025,AIM-P008-456,0.6213,AIM-P008-456|AIM-P001-036|AIM-P001-029|AIM-P001-039|AIM-P009-481,False,False,AIM-P001-039,0.6418,AIM-P001-039|AIM-P006-328|AIM-P001-036|AIM-P014-801|AIM-P015-891,False,False,0.6364,"remover_fondo:grabcut;recortar_region:66,0,311,308",0.157,0.707,0.55
c03_persona.jpg,persona,AIM-P001-025,AIM-P003-151,0.6976,AIM-P003-151|AIM-P001-022|AIM-P005-251|AIM-P011-628|AIM-P016-921,False,False,AIM-P005-251,0.7195,AIM-P005-251|AIM-P006-321|AIM-P005-261|AIM-P012-710|AIM-P003-151,False,False,0.6587,"remover_fondo:grabcut;recortar_region:36,20,284,292",0.156,0.59,0.42
c04_exacta.jpg,exacta,AIM-P001-040,AIM-P001-040,0.9938,AIM-P001-040|AIM-P009-520|AIM-P013-724|AIM-P003-142|AIM-P004-194,True,True,AIM-P001-040,0.8764,AIM-P001-040|AIM-P011-650|AIM-P009-520|AIM-P013-724|AIM-P010-563,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.154,1.079,0.937
c04_sin_marco.jpg,sin_marco,AIM-P001-040,AIM-P001-040,0.9686,AIM-P001-040|AIM-P009-520|AIM-P013-724|AIM-P017-974|AIM-P004-194,True,True,AIM-P003-151,0.6761,AIM-P003-151|AIM-P005-251|AIM-P014-830|AIM-P003-147|AIM-P012-691,False,False,0.73,"remover_fondo:grabcut;recortar_region:0,87,660,479",0.169,1.262,1.108
c04_recoloreada.jpg,recoloreada,AIM-P001-040,AIM-P001-040,0.9439,AIM-P001-040|AIM-P009-520|AIM-P005-261|AIM-P017-974|AIM-P011-650,True,True,AIM-P001-040,0.8512,AIM-P001-040|AIM-P011-650|AIM-P010-563|AIM-P005-261|AIM-P017-974,True,True,1.0,"remover_fondo:grabcut;recortar_region:0,0,700,560;centrar_sin_recorte",0.153,1.098,0.95
c04_recortada.jpg,recortada,AIM-P001-040,AIM-P015-858,0.6381,AIM-P015-858|AIM-P001-040|AIM-P009-520|AIM-P003-142|AIM-P013-724,False,True,AIM-P001-040,0.7304,AIM-P001-040|AIM-P015-858|AIM-P005-243|AIM-P004-194|AIM-P009-520,True,True,0.9083,"remover_fondo:grabcut;recortar_region:31,2,383,308",0.154,1.402,1.249
c04_persona.jpg,persona,AIM-P001-040,AIM-P009-519,0.6282,AIM-P009-519|AIM-P011-650|AIM-P011-628|AIM-P012-691|AIM-P001-022,False,False,AIM-P009-519,0.6474,AIM-P009-519|AIM-P002-115|AIM-P006-343|AIM-P017-990|AIM-P001-029,False,False,0.6563,"remover_fondo:grabcut;recortar_region:36,20,284,291",0.156,0.742,0.561
