archivo,categoria,correcto_id,top1_original,top1_original_score,top5_original,hit1_original,hit5_original,top1_procesada,top1_procesada_score,top5_procesada,hit1_procesada,hit5_procesada,recorte_pct,pasos,tiempo_original_s,tiempo_procesada_s,tiempo_preprocesado_s
c01_exacta.jpg,exacta,AIM-P001-001,AIM-P001-001,0.9983,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P006-301|AIM-P004-201,True,True,AIM-P002-101,0.9239,AIM-P002-101|AIM-P004-201|AIM-P009-501|AIM-P006-301|AIM-P016-901,False,False,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",2.361,5.548,3.087
c01_sin_marco.jpg,sin_marco,AIM-P001-001,AIM-P001-001,0.9857,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P006-301|AIM-P004-201,True,True,AIM-P001-001,0.9404,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P004-201|AIM-P006-301,True,True,1.0,"remover_fondo:rembg;recortar_region:0,0,661,537;centrar_sin_recorte",0.159,1.479,1.214
c01_recoloreada.jpg,recoloreada,AIM-P001-001,AIM-P009-501,0.9115,AIM-P009-501|AIM-P002-101|AIM-P007-401|AIM-P012-701|AIM-P014-801,False,False,AIM-P001-001,0.8407,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P006-301|AIM-P004-201,True,True,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.21,1.337,1.171
c01_recortada.jpg,recortada,AIM-P001-001,AIM-P001-001,0.802,AIM-P001-001|AIM-P002-101|AIM-P004-201|AIM-P011-601|AIM-P014-801,True,True,AIM-P001-001,0.8209,AIM-P001-001|AIM-P002-101|AIM-P004-201|AIM-P006-301|AIM-P007-401,True,True,0.9896,"remover_fondo:rembg;recortar_region:0,0,381,308",0.154,1.293,1.112
c01_persona.jpg,persona,AIM-P001-001,AIM-P001-001,0.7153,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P004-201|AIM-P006-301,True,True,AIM-P001-001,0.7244,AIM-P001-001|AIM-P002-101|AIM-P006-301|AIM-P016-901|AIM-P004-201,True,True,0.5046,"remover_fondo:rembg;recortar_region:62,22,257,287",0.148,1.264,1.108
c02_exacta.jpg,exacta,AIM-P001-010,AIM-P002-110,0.9969,AIM-P002-110|AIM-P007-410|AIM-P006-310|AIM-P004-210|AIM-P012-710,False,False,AIM-P002-110,0.8986,AIM-P002-110|AIM-P004-210|AIM-P006-310|AIM-P011-610|AIM-P009-510,False,False,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.136,1.632,1.295
c02_sin_marco.jpg,sin_marco,AIM-P001-010,AIM-P002-110,0.9762,AIM-P002-110|AIM-P007-410|AIM-P006-310|AIM-P004-210|AIM-P012-710,False,False,AIM-P004-210,0.9358,AIM-P004-210|AIM-P006-310|AIM-P002-110|AIM-P007-410|AIM-P009-510,False,False,1.0,"remover_fondo:rembg;recortar_region:0,0,660,537;centrar_sin_recorte",0.186,1.424,1.272
c02_recoloreada.jpg,recoloreada,AIM-P001-010,AIM-P012-710,0.9297,AIM-P012-710|AIM-P014-810|AIM-P006-310|AIM-P007-410|AIM-P004-210,False,False,AIM-P002-110,0.8403,AIM-P002-110|AIM-P014-810|AIM-P001-010|AIM-P009-510|AIM-P016-910,False,True,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.139,1.319,1.166
c02_recortada.jpg,recortada,AIM-P001-010,AIM-P002-110,0.6446,AIM-P002-110|AIM-P007-410|AIM-P006-310|AIM-P004-210|AIM-P012-710,False,False,AIM-P002-110,0.5579,AIM-P002-110|AIM-P004-210|AIM-P006-310|AIM-P011-610|AIM-P009-510,False,False,0.6571,"remover_fondo:rembg;recortar_region:0,0,253,308",0.135,1.186,1.038
c02_persona.jpg,persona,AIM-P001-010,AIM-P006-315,0.6674,AIM-P006-315|AIM-P016-915|AIM-P001-015|AIM-P012-715|AIM-P009-515,False,False,AIM-P002-108,0.7049,AIM-P002-108|AIM-P006-308|AIM-P016-908|AIM-P004-208|AIM-P011-608,False,False,0.5693,"remover_fondo:rembg;recortar_region:37,22,257,287",0.124,1.202,1.038
c03_exacta.jpg,exacta,AIM-P001-025,AIM-P013-725,0.9964,AIM-P013-725|AIM-P011-625|AIM-P001-025|AIM-P004-225|AIM-P016-925,False,True,AIM-P001-025,0.9068,AIM-P001-025|AIM-P009-525|AIM-P016-925|AIM-P003-125|AIM-P011-625,True,True,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.158,1.266,1.115
c03_sin_marco.jpg,sin_marco,AIM-P001-025,AIM-P013-725,0.9724,AIM-P013-725|AIM-P009-525|AIM-P014-825|AIM-P011-625|AIM-P004-225,False,False,AIM-P001-025,0.9146,AIM-P001-025|AIM-P011-625|AIM-P003-125|AIM-P014-825|AIM-P004-225,True,True,1.0,"remover_fondo:rembg;recortar_region:0,0,660,537;centrar_sin_recorte",0.153,1.33,1.129
c03_recoloreada.jpg,recoloreada,AIM-P001-025,AIM-P001-025,0.9494,AIM-P001-025|AIM-P003-125|AIM-P004-225|AIM-P016-925|AIM-P006-325,True,True,AIM-P013-725,0.8719,AIM-P013-725|AIM-P009-525|AIM-P014-825|AIM-P001-025|AIM-P016-925,False,True,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.186,1.208,1.076
c03_recortada.jpg,recortada,AIM-P001-025,AIM-P002-117,0.6012,AIM-P002-117|AIM-P004-217|AIM-P016-917|AIM-P006-317|AIM-P012-717,False,False,AIM-P001-017,0.6067,AIM-P001-017|AIM-P011-617|AIM-P009-517|AIM-P012-717|AIM-P016-917,False,False,0.6831,"remover_fondo:rembg;recortar_region:0,0,263,308",0.125,1.148,0.99
c03_persona.jpg,persona,AIM-P001-025,AIM-P010-569,0.6901,AIM-P010-569|AIM-P003-169|AIM-P012-669|AIM-P017-969|AIM-P013-769,False,False,AIM-P002-070,0.7323,AIM-P002-070|AIM-P010-570|AIM-P008-470|AIM-P013-770|AIM-P003-170,False,False,0.5642,"remover_fondo:rembg;recortar_region:39,22,257,287",0.129,1.137,0.999
c04_exacta.jpg,exacta,AIM-P001-040,AIM-P001-040,0.9988,AIM-P001-040|AIM-P016-940|AIM-P003-140|AIM-P004-240|AIM-P006-340,True,True,AIM-P011-640,0.7888,AIM-P011-640|AIM-P016-940|AIM-P003-140|AIM-P013-740|AIM-P001-040,False,True,0.9089,"remover_fondo:rembg;recortar_region:0,0,700,509",0.146,1.164,1.037
c04_sin_marco.jpg,sin_marco,AIM-P001-040,AIM-P003-140,0.9837,AIM-P003-140|AIM-P016-940|AIM-P013-740|AIM-P011-640|AIM-P001-040,False,True,AIM-P003-140,0.7514,AIM-P003-140|AIM-P011-640|AIM-P016-940|AIM-P009-540|AIM-P008-440,False,False,0.9255,"remover_fondo:rembg;recortar_region:0,0,660,497",0.139,1.133,1.001
c04_recoloreada.jpg,recoloreada,AIM-P001-040,AIM-P013-740,0.9499,AIM-P013-740|AIM-P011-640|AIM-P003-140|AIM-P001-040|AIM-P008-440,False,True,AIM-P016-940,0.7505,AIM-P016-940|AIM-P013-740|AIM-P003-140|AIM-P011-640|AIM-P001-040,False,True,0.9089,"remover_fondo:rembg;recortar_region:0,0,700,509",0.144,1.162,1.023
c04_recortada.jpg,recortada,AIM-P001-040,AIM-P003-140,0.5597,AIM-P003-140|AIM-P016-940|AIM-P011-640|AIM-P009-540|AIM-P004-240,False,False,AIM-P001-040,0.5722,AIM-P001-040|AIM-P003-140|AIM-P016-940|AIM-P004-240|AIM-P006-340,True,True,0.6935,"remover_fondo:rembg;recortar_region:0,0,267,308",0.13,1.162,1.024
c04_persona.jpg,persona,AIM-P001-040,AIM-P003-169,0.6692,AIM-P003-169|AIM-P002-069|AIM-P012-669|AIM-P007-369|AIM-P008-469,False,False,AIM-P002-070,0.6334,AIM-P002-070|AIM-P013-770|AIM-P008-470|AIM-P010-570|AIM-P007-370,False,False,0.5693,"remover_fondo:rembg;recortar_region:37,22,257,287",0.123,1.314,1.068
c05_exacta.jpg,exacta,AIM-P001-055,AIM-P001-055,1.0,AIM-P001-055|AIM-P016-955|AIM-P005-255|AIM-P003-155|AIM-P008-455,True,True,AIM-P011-655,0.8919,AIM-P011-655|AIM-P016-955|AIM-P013-755|AIM-P005-255|AIM-P006-355,False,False,1.0,"remover_fondo:rembg;recortar_region:0,0,4252,3402;centrar_sin_recorte",0.466,2.772,2.642
c05_sin_marco.jpg,sin_marco,AIM-P001-055,AIM-P016-955,0.9185,AIM-P016-955|AIM-P010-555|AIM-P013-755|AIM-P003-155|AIM-P006-355,False,False,AIM-P013-755,0.9097,AIM-P013-755|AIM-P003-155|AIM-P016-955|AIM-P005-255|AIM-P010-555,False,False,1.0,"remover_fondo:rembg;recortar_region:0,0,3961,3210;centrar_sin_recorte",0.298,2.041,1.936
c05_recoloreada.jpg,recoloreada,AIM-P001-055,AIM-P001-055,0.9384,AIM-P001-055|AIM-P016-955|AIM-P005-255|AIM-P003-155|AIM-P015-855,True,True,AIM-P001-055,0.8459,AIM-P001-055|AIM-P016-955|AIM-P003-155|AIM-P005-255|AIM-P006-355,True,True,1.0,"remover_fondo:rembg;recortar_region:0,0,4252,3402;centrar_sin_recorte",0.307,2.154,2.044
c05_recortada.jpg,recortada,AIM-P001-055,AIM-P017-969,0.5901,AIM-P017-969|AIM-P002-069|AIM-P003-169|AIM-P013-769|AIM-P010-569,False,False,AIM-P017-969,0.6483,AIM-P017-969|AIM-P002-069|AIM-P003-169|AIM-P013-769|AIM-P010-569,False,False,0.1946,"remover_fondo:rembg;recortar_region:675,316,2338,828",0.223,1.323,1.21
c05_persona.jpg,persona,AIM-P001-055,AIM-P010-569,0.6426,AIM-P010-569|AIM-P002-069|AIM-P008-469|AIM-P013-769|AIM-P005-269,False,False,AIM-P002-070,0.6943,AIM-P002-070|AIM-P003-170|AIM-P005-270|AIM-P007-370|AIM-P015-870,False,False,0.5693,"remover_fondo:rembg;recortar_region:37,22,257,287",0.125,1.13,0.955
c06_exacta.jpg,exacta,AIM-P002-101,AIM-P001-001,0.9983,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P006-301|AIM-P004-201,False,True,AIM-P002-101,0.9239,AIM-P002-101|AIM-P004-201|AIM-P009-501|AIM-P006-301|AIM-P016-901,True,True,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.134,1.102,0.949
c06_sin_marco.jpg,sin_marco,AIM-P002-101,AIM-P001-001,0.9857,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P006-301|AIM-P004-201,False,True,AIM-P001-001,0.9404,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P004-201|AIM-P006-301,False,True,1.0,"remover_fondo:rembg;recortar_region:0,0,661,537;centrar_sin_recorte",0.133,1.077,0.952
c06_recoloreada.jpg,recoloreada,AIM-P002-101,AIM-P009-501,0.9115,AIM-P009-501|AIM-P002-101|AIM-P007-401|AIM-P012-701|AIM-P014-801,False,True,AIM-P001-001,0.8407,AIM-P001-001|AIM-P002-101|AIM-P016-901|AIM-P006-301|AIM-P004-201,False,True,1.0,"remover_fondo:rembg;recortar_region:0,0,700,560;centrar_sin_recorte",0.126,1.09,0.958
c06_recortada.jpg,recortada,AIM-P002-101,AIM-P001-001,0.802,AIM-P001-001|AIM-P002-101|AIM-P004-201|AIM-P011-601|AIM-P014-801,False,True,AIM-P001-001,0.8209,AIM-P001-001|AIM-P002-101|AIM-P004-201|AIM-P006-301|AIM-P007-401,False,True,0.9896,"remover_fondo:rembg;recortar_region:0,0,381,308",0.142,1.113,0.953
