id,proveedor,pagina,imagen,nombre_original,url
AIM-P001-001,Designs Aimari,1,AIM-P001-001.jpg,Guadalcacin Blue,https://media.designsaimari.com/products/cmsak7fn30l21np01zwgewh86/previews/1785600117219-5d6524ef-6818-4bc4-adfc-e7b18cf1879c.jpg?variante=1
AIM-P001-002,Designs Aimari,1,AIM-P001-002.jpg,Argentina Drexx,https://media.designsaimari.com/products/cmsaibco10koxnp01tazeaomx/previews/1785596944633-4145288c-feda-44b0-8a09-ec6e43657692.jpg?variante=2
AIM-P001-003,Designs Aimari,1,AIM-P001-003.jpg,Ballbreakers DUO Kit,https://media.designsaimari.com/products/cms9vwm0p0ibxpc01anhrzy2i/previews/1785559301285-bc3edbc9-9a8b-4589-b622-2b336c039461.jpg?variante=3
AIM-P001-004,Designs Aimari,1,AIM-P001-004.jpg,CRISTO CONVITERO MIXQUEÑO,https://media.designsaimari.com/products/cms9hnwec0f6fnp01ioeq0fqd/previews/1785535382850-695a7d83-e5a0-4c01-b81a-b2f027847228.jpg?variante=4
AIM-P001-005,Designs Aimari,1,AIM-P001-005.jpg,Africa del Sur,https://media.designsaimari.com/products/cms9hehwz0fgopc01wnm830ux/previews/1785534942474-7e7be854-ce32-4c81-bd61-c1bd7ba9e26f.jpg?variante=5
AIM-P001-006,Designs Aimari,1,AIM-P001-006.jpg,Senegal AFCON 2025,https://media.designsaimari.com/products/cms9h7pnh0fdtpc0127zbcpca/previews/1785534627438-5984abaf-b0ee-4111-8393-01aa79d816a9.jpg?variante=6
AIM-P001-007,Designs Aimari,1,AIM-P001-007.jpg,Jersey Blue And Red Sport,https://media.designsaimari.com/products/cms9gsy0k0ex4np01jwy2ukxq/previews/1785533935986-564c723a-0d55-4b30-8698-3867f7ae3305.jpg?variante=7
AIM-P001-008,Designs Aimari,1,AIM-P001-008.jpg,Sport Red Dark GB,https://media.designsaimari.com/products/cms9g214x0ejnnp01z4zgpt6s/previews/1785532681139-4c0217c8-7240-40e4-b04e-04ac03224f07.jpg?variante=8
AIM-P001-009,Designs Aimari,1,AIM-P001-009.jpg,River Plate 26-27,https://media.designsaimari.com/products/cms9f3zaq0e41np017jhwtf3e/previews/1785531091798-b7019670-a9f6-43c4-a5f4-ee4a45132fe5.jpg?variante=9
AIM-P001-010,Designs Aimari,1,AIM-P001-010.jpg,Deportivo Escolar,https://media.designsaimari.com/products/cms9edtb80drhnp0187n9gm2k/previews/1785529871436-771503ae-69b4-4037-92e9-b2a2ef61a9ab.jpg?variante=10
AIM-P001-011,Designs Aimari,1,AIM-P001-011.jpg,CAJN Concept Lobo,https://media.designsaimari.com/products/cms9dbhff0dfgnp018dtsv5to/previews/1785528082763-20b50ad8-3e61-4556-b929-dabb8cc136b5.jpg?variante=11
AIM-P001-012,Designs Aimari,1,AIM-P001-012.jpg,MANTO rashguard,https://media.designsaimari.com/products/cms9criyd0d4hnp01o0u9cbcn/previews/1785527151433-1febca0c-04e8-4039-b9be-79f487b5c67a.jpg?variante=12
AIM-P001-013,Designs Aimari,1,AIM-P001-013.jpg,Sport Grunge Amarillo,https://media.designsaimari.com/products/cms9cjdq20d0nnp01i0tgatih/previews/1785526772019-9b5c91f8-ac1c-430d-92ed-ed9f7b4a1490.jpg?variante=13
AIM-P001-014,Designs Aimari,1,AIM-P001-014.jpg,Jersey Sport Coral,https://media.designsaimari.com/products/cms9bz4fz0cq2np01f1uzqveh/previews/1785525826105-d454807c-ee57-4fe6-ac02-25e27bce8c33.jpg?variante=14
AIM-P001-015,Designs Aimari,1,AIM-P001-015.jpg,San Lorenzo Cuervo Rojo,https://media.designsaimari.com/products/cms9azmwb0cy6pc01bfvgm460/previews/1785524170846-79dbdbbe-d3d4-4626-b193-f9f08603dd02.jpg?variante=15
AIM-P001-016,Designs Aimari,1,AIM-P001-016.jpg,Inter Milan 2026-2027,https://media.designsaimari.com/products/cms9a5uj50c7xpc01xf543rvt/previews/1785522780738-5e461cdc-8a43-45b8-a490-05cc8ec65832.jpg?variante=16
AIM-P001-017,Designs Aimari,1,AIM-P001-017.jpg,Sports Design Red,https://media.designsaimari.com/products/cms99tfra0bxanp01y4ehyk9r/previews/1785522201735-2ad8d531-9e77-4c17-8c72-dd58ed291739.jpg?variante=17
AIM-P001-018,Designs Aimari,1,AIM-P001-018.jpg,Enmanuel F.C Herraientas,https://media.designsaimari.com/products/cms99fxon0bubpc01zjuz274e/previews/1785521572161-e20c7037-a51d-40d7-93c2-88e9e1570605.jpg?variante=18
AIM-P001-019,Designs Aimari,1,AIM-P001-019.jpg,Guardian del Camino Design,https://media.designsaimari.com/products/cms97b8tm0b3ipc01vwko8rej/previews/1785517995841-ce572dd6-7dae-4cfc-9f95-8148e49de387.jpg?variante=19
AIM-P001-020,Designs Aimari,1,AIM-P001-020.jpg,Deportivo Red,https://media.designsaimari.com/products/cms96t50e0aownp01ad8227x3/previews/1785517154513-e1c027d5-6771-444f-9687-9e777224b7c3.jpg?variante=20
AIM-P001-021,Designs Aimari,1,AIM-P001-021.jpg,Bélgica Concept,https://media.designsaimari.com/products/cms94pmfs09s0pc01ugxxpvd5/previews/1785513633055-ab4438ce-f216-48b2-9d36-22b7f66eaf89.jpg?variante=21
AIM-P001-022,Designs Aimari,1,AIM-P001-022.jpg,Manchester City Home,https://media.designsaimari.com/products/cms940eao0982np01i29okyem/previews/1785512825647-cafc3e51-e705-4c8c-8223-dd920fff368b.jpg?variante=22
AIM-P001-023,Designs Aimari,1,AIM-P001-023.png,Trazo Abstracto,https://media.designsaimari.com/products/cms93qs6o08yynp01mgwvxk4n/previews/1785512000536-20c08dd1-6411-41f9-8dc3-b623e7c5234d.png?variante=23
AIM-P001-024,Designs Aimari,1,AIM-P001-024.jpg,Jersey Grunge Concept,https://media.designsaimari.com/products/cms92qc5t08fqnp018mt35idk/previews/1785510301382-af6ba113-74c3-440b-92e8-27fe3814aa49.jpg?variante=24
AIM-P001-025,Designs Aimari,1,AIM-P001-025.jpg,Manchas Sports azul,https://media.designsaimari.com/products/cms90fq2v0786np013u2bukxl/previews/1785506445256-faa084d5-e84a-4930-9072-0bb4552c20e8.jpg?variante=25
